sub_category,total_profit,total_sales,total_orders,profit_contribution_pct,cumulative_pct,is_top80,profit_margin_pct
Copiers,258567.54818,1509439.0,2223,17.66,17.66,True,17.13
Phones,215493.4258,1703417.0,3355,14.72,32.38,True,12.65
Bookcases,161823.6195,1465719.0,2410,11.05,43.43,True,11.04
Appliances,140751.5494,1005471.0,1753,9.61,53.04,True,14.0
Chairs,140348.3463,1500384.0,3430,9.59,62.63,True,9.35
Accessories,129528.3733,748764.0,3072,8.85,71.48,True,17.3
Storage,108214.3396,1126186.0,5056,7.39,78.87,True,9.61
Binders,72361.6274,461491.0,6143,4.94,83.81,False,15.68
Paper,59037.5067,243938.0,3536,4.03,87.84,False,24.2
Machines,58758.973,778818.0,1485,4.01,91.85,False,7.54
Art,57681.2049,371353.0,4877,3.94,95.79,False,15.53
Furnishings,46801.3251,385036.0,3169,3.2,98.99,False,12.16
Envelopes,29579.546299999998,170827.0,2433,2.02,101.01,False,17.32
Supplies,22570.9631,243052.0,2424,1.54,102.55,False,9.29
Labels,15004.962,73422.0,2605,1.02,103.57,False,20.44
Fasteners,11525.4241,83254.0,2420,0.79,104.36,False,13.84
Tables,-64083.388699999996,757034.0,861,-4.38,99.98,False,-8.47
